YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2023,9,2,2,AA,1010,TAIL010,JFK,ATL,671,671.0,10.0,6.0,681.0,237,150.0,156.0,321,822.0,6.0,822,822.0,10.0,0,0,,14.0,18.0,47.0,8.0,
2023,11,9,6,AA,1011,TAIL011,ORD,SFO,1626,1626.0,147.0,25.0,1636.0,156,210.0,143.0,2121,1676.0,13.0,1676,1676.0,147.0,0,0,,20.0,7.0,39.0,30.0,31.0
2023,6,27,6,WN,1012,TAIL012,ORD,SFO,1582,1582.0,150.0,6.0,1592.0,111,167.0,185.0,2773,1804.0,4.0,1804,1804.0,150.0,0,0,,,19.0,86.0,35.0,31.0
2023,7,18,2,WN,1013,TAIL013,JFK,JFK,2231,2231.0,30.0,19.0,2241.0,225,203.0,85.0,2807,2279.0,14.0,2279,2279.0,30.0,0,0,,5.0,14.0,30.0,50.0,10.0
2023,7,13,6,UA,1014,TAIL014,LAX,JFK,741,741.0,,23.0,751.0,85,,127.0,2569,836.0,19.0,836,836.0,11.0,0,0,,1.0,13.0,65.0,66.0,12.0
2023,12,11,7,UA,1015,TAIL015,JFK,ATL,28,28.0,83.0,21.0,38.0,239,172.0,76.0,2617,121.0,2.0,121,121.0,83.0,0,0,,,18.0,3.0,65.0,24.0
2023,12,26,1,WN,1016,TAIL016,SFO,ATL,562,562.0,149.0,22.0,572.0,185,150.0,75.0,2583,652.0,2.0,652,652.0,149.0,0,0,,,3.0,6.0,49.0,18.0
2023,2,17,4,SW,1017,TAIL017,ORD,SFO,970,970.0,54.0,11.0,980.0,230,156.0,185.0,1439,1036.0,18.0,1036,1036.0,54.0,0,0,,58.0,2.0,55.0,34.0,38.0
2023,3,26,1,UA,1018,TAIL018,LAX,ORD,361,361.0,148.0,13.0,371.0,161,165.0,177.0,889,476.0,16.0,476,476.0,148.0,0,0,,48.0,14.0,,58.0,20.0
2023,1,3,7,DL,1019,TAIL019,ATL,ATL,741,741.0,147.0,6.0,751.0,71,193.0,187.0,2598,880.0,6.0,880,880.0,147.0,0,0,,,,54.0,61.0,27.0
2023,10,15,4,SW,1020,TAIL020,JFK,SFO,914,914.0,,9.0,924.0,204,238.0,211.0,1299,1138.0,2.0,1138,1138.0,108.0,0,1,B,26.0,,56.0,18.0,39.0
2023,2,24,5,UA,1021,TAIL021,ORD,SFO,1706,1706.0,-18.0,23.0,1716.0,125,227.0,212.0,1687,1839.0,15.0,1839,,-18.0,0,0,,23.0,6.0,46.0,8.0,
2023,4,1,5,SW,1022,TAIL022,ATL,SFO,1488,1488.0,15.0,16.0,1498.0,90,186.0,,2447,1600.0,13.0,1600,,15.0,0,0,,,9.0,78.0,64.0,17.0
2023,10,21,7,WN,1023,TAIL023,SFO,SFO,1543,1543.0,173.0,13.0,1553.0,217,237.0,,877,1660.0,9.0,1660,1660.0,173.0,0,0,,,4.0,3.0,29.0,4.0
2023,5,23,3,SW,1024,TAIL024,JFK,ATL,1682,1682.0,134.0,10.0,1692.0,107,181.0,185.0,2707,1849.0,9.0,1849,1849.0,134.0,0,0,,51.0,8.0,35.0,69.0,7.0
2023,8,9,6,SW,1025,TAIL025,ORD,ORD,806,806.0,,8.0,816.0,70,,130.0,1163,930.0,4.0,930,930.0,123.0,0,0,,57.0,12.0,79.0,76.0,39.0
2023,3,9,4,DL,1026,TAIL026,ATL,SFO,817,817.0,57.0,26.0,827.0,103,122.0,217.0,369,1035.0,12.0,1035,1035.0,57.0,0,0,,,5.0,,65.0,6.0
2023,8,27,4,UA,1027,TAIL027,JFK,JFK,753,,65.0,6.0,763.0,104,107.0,152.0,333,804.0,2.0,804,804.0,65.0,0,0,,58.0,6.0,13.0,0.0,6.0
2023,6,16,6,AA,1028,TAIL028,ORD,ATL,262,262.0,34.0,27.0,272.0,146,193.0,,1126,398.0,17.0,398,398.0,34.0,0,0,,42.0,,83.0,15.0,28.0
2023,7,14,1,SW,1029,TAIL029,LAX,ATL,1121,1121.0,-3.0,29.0,1131.0,213,,234.0,1889,,15.0,1201,1201.0,-3.0,0,0,,48.0,10.0,37.0,68.0,1.0
2023,4,21,6,DL,1030,TAIL030,LAX,JFK,44,44.0,13.0,27.0,54.0,70,91.0,,941,221.0,,221,221.0,13.0,0,0,,0.0,8.0,48.0,57.0,2.0
2023,1,17,2,AA,1031,TAIL031,LAX,ATL,695,695.0,112.0,26.0,705.0,195,181.0,108.0,2323,,18.0,797,797.0,112.0,0,0,,30.0,18.0,8.0,12.0,27.0
2023,12,26,2,DL,1032,TAIL032,LAX,LAX,2268,2268.0,15.0,16.0,2278.0,75,193.0,230.0,1795,2353.0,,2353,2353.0,15.0,0,0,,0.0,4.0,18.0,78.0,37.0
2023,4,11,3,WN,1033,TAIL033,JFK,SFO,1483,,105.0,13.0,1493.0,127,119.0,89.0,330,,8.0,1595,1595.0,105.0,0,0,,20.0,5.0,43.0,41.0,5.0
2023,12,25,1,AA,1034,TAIL034,LAX,LAX,20,20.0,-3.0,24.0,,222,,,1848,151.0,3.0,151,151.0,-3.0,0,0,,44.0,12.0,7.0,20.0,14.0
2023,4,4,6,UA,1035,TAIL035,JFK,SFO,1236,1236.0,,10.0,1246.0,221,92.0,212.0,2021,1420.0,9.0,1420,1420.0,127.0,0,0,,44.0,6.0,29.0,19.0,
2023,6,15,3,AA,1036,TAIL036,ORD,ATL,2094,2094.0,135.0,,2104.0,138,,127.0,1752,2124.0,17.0,2124,2124.0,,0,0,,1.0,1.0,41.0,52.0,
2023,9,24,7,AA,1037,TAIL037,SFO,LAX,336,336.0,143.0,21.0,346.0,172,208.0,,793,537.0,15.0,537,,143.0,0,0,,0.0,15.0,11.0,39.0,
2023,9,19,5,DL,1038,TAIL038,JFK,ORD,1527,,62.0,7.0,1537.0,182,237.0,140.0,2289,,15.0,1624,1624.0,62.0,0,0,,,14.0,66.0,11.0,28.0
2023,9,12,4,SW,1039,TAIL039,ORD,LAX,2139,2139.0,63.0,8.0,2149.0,114,63.0,89.0,2378,2238.0,18.0,2238,2238.0,63.0,0,0,,40.0,5.0,,53.0,21.0
2023,8,2,3,SW,1040,TAIL040,SFO,ATL,1814,1814.0,96.0,18.0,1824.0,132,125.0,,1443,2044.0,17.0,2044,2044.0,96.0,0,0,,32.0,8.0,,73.0,
2023,8,13,5,AA,1041,TAIL041,LAX,SFO,1757,1757.0,132.0,21.0,1767.0,111,99.0,162.0,669,1996.0,10.0,1996,1996.0,132.0,0,0,,47.0,2.0,,31.0,1.0
2023,12,27,1,UA,1042,TAIL042,ORD,SFO,946,946.0,155.0,16.0,956.0,80,88.0,136.0,882,1106.0,11.0,1106,,,0,0,,6.0,1.0,,23.0,18.0
2023,9,24,7,DL,1043,TAIL043,ATL,ATL,121,121.0,114.0,15.0,131.0,99,220.0,224.0,469,228.0,7.0,228,228.0,114.0,0,0,,4.0,1.0,3.0,27.0,6.0
2023,1,3,3,AA,1044,TAIL044,LAX,ORD,2030,2030.0,144.0,23.0,2040.0,188,143.0,172.0,783,2116.0,15.0,2116,2116.0,144.0,0,0,,5.0,13.0,89.0,14.0,17.0
2023,8,7,4,AA,1045,TAIL045,SFO,ATL,2064,2064.0,175.0,12.0,2074.0,126,187.0,227.0,1884,2294.0,7.0,2294,2294.0,175.0,0,0,,25.0,15.0,24.0,36.0,22.0
2023,10,19,6,WN,1046,TAIL046,JFK,ATL,155,155.0,-20.0,,165.0,220,145.0,165.0,1043,261.0,14.0,261,261.0,-20.0,0,0,,4.0,2.0,30.0,28.0,13.0
2023,3,20,1,DL,1047,TAIL047,SFO,JFK,2192,2192.0,63.0,9.0,2202.0,213,184.0,,1672,2350.0,3.0,2350,,63.0,0,0,,19.0,16.0,88.0,23.0,38.0
2023,3,6,7,WN,1048,TAIL048,JFK,SFO,937,937.0,96.0,26.0,947.0,204,,,1972,1133.0,6.0,1133,1133.0,96.0,0,0,,27.0,7.0,28.0,42.0,3.0
2023,10,22,4,UA,1049,TAIL049,LAX,ORD,1705,,57.0,25.0,1715.0,178,230.0,,2779,1938.0,12.0,1938,1938.0,57.0,0,0,,20.0,14.0,18.0,37.0,37.0
2023,5,19,2,DL,1050,TAIL050,ORD,SFO,2077,2077.0,177.0,,,202,214.0,233.0,2658,2291.0,9.0,2291,2291.0,177.0,0,0,,,16.0,84.0,29.0,35.0
2023,4,2,1,SW,1051,TAIL051,ATL,ORD,521,521.0,-7.0,20.0,531.0,180,84.0,67.0,2890,726.0,11.0,726,726.0,-7.0,0,0,,30.0,18.0,37.0,77.0,39.0
2023,6,6,4,WN,1052,TAIL052,LAX,ATL,2085,,51.0,18.0,,114,115.0,228.0,2752,2248.0,4.0,2248,2248.0,51.0,0,0,,,14.0,35.0,13.0,38.0
2023,9,25,1,SW,1053,TAIL053,SFO,ORD,446,,37.0,,456.0,209,114.0,158.0,2903,,18.0,583,583.0,37.0,0,0,,16.0,7.0,65.0,6.0,7.0
2023,1,8,7,WN,1054,TAIL054,ATL,LAX,1970,1970.0,,,1980.0,161,68.0,86.0,746,2128.0,,2128,2128.0,-3.0,0,0,,30.0,16.0,56.0,75.0,18.0
2023,12,4,4,DL,1055,TAIL055,ORD,JFK,960,960.0,104.0,9.0,970.0,138,222.0,,672,1081.0,12.0,1081,1081.0,104.0,0,0,,29.0,,46.0,38.0,29.0
2023,8,1,4,UA,1056,TAIL056,ORD,ATL,567,567.0,123.0,22.0,577.0,176,142.0,174.0,2357,644.0,13.0,644,644.0,,0,0,,35.0,8.0,4.0,58.0,23.0
2023,3,7,7,SW,1057,TAIL057,SFO,LAX,824,824.0,,12.0,834.0,95,94.0,218.0,674,881.0,14.0,881,881.0,57.0,0,0,,14.0,6.0,74.0,56.0,9.0
2023,10,8,2,SW,1058,TAIL058,LAX,LAX,1371,1371.0,1.0,22.0,1381.0,103,93.0,109.0,240,1558.0,9.0,1558,1558.0,1.0,0,0,,,12.0,57.0,,17.0
2023,10,20,1,WN,1059,TAIL059,ORD,ORD,1963,1963.0,80.0,24.0,1973.0,159,188.0,100.0,392,,17.0,2183,2183.0,80.0,0,0,,44.0,5.0,,79.0,22.0
2023,10,12,1,DL,1060,TAIL060,ATL,JFK,400,400.0,19.0,22.0,410.0,225,224.0,239.0,2480,476.0,8.0,476,476.0,19.0,0,0,,57.0,15.0,69.0,59.0,33.0
2023,3,6,7,SW,1061,TAIL061,ORD,SFO,10,10.0,94.0,25.0,20.0,102,93.0,138.0,1542,160.0,15.0,160,,94.0,0,0,,41.0,,89.0,58.0,16.0
2023,3,6,6,UA,1062,TAIL062,LAX,ATL,309,309.0,14.0,7.0,319.0,105,,227.0,829,381.0,6.0,381,381.0,14.0,0,0,,2.0,7.0,82.0,5.0,9.0
2023,8,4,1,WN,1063,TAIL063,SFO,JFK,2046,2046.0,41.0,28.0,2056.0,237,194.0,171.0,1005,2189.0,7.0,2189,2189.0,41.0,0,0,,30.0,19.0,82.0,23.0,27.0
2023,10,26,2,SW,1064,TAIL064,ATL,LAX,444,444.0,139.0,,454.0,123,170.0,217.0,1646,544.0,,544,544.0,139.0,0,0,,47.0,4.0,54.0,75.0,0.0
2023,6,10,6,WN,1065,TAIL065,ATL,SFO,1679,1679.0,,5.0,1689.0,156,106.0,192.0,2679,1776.0,9.0,1776,1776.0,92.0,0,0,,46.0,,9.0,50.0,4.0
2023,8,24,6,UA,1066,TAIL066,JFK,LAX,290,290.0,-8.0,,,182,225.0,112.0,792,414.0,8.0,414,,-8.0,0,0,,4.0,14.0,52.0,32.0,35.0
2023,3,14,1,UA,1067,TAIL067,JFK,ORD,1231,1231.0,122.0,24.0,1241.0,184,119.0,218.0,417,1458.0,15.0,1458,1458.0,,0,0,,12.0,4.0,26.0,35.0,24.0
2023,8,3,6,WN,1068,TAIL068,ORD,JFK,318,318.0,118.0,15.0,328.0,198,102.0,66.0,2329,416.0,3.0,416,,118.0,0,0,,37.0,19.0,66.0,53.0,
2023,6,17,2,UA,1069,TAIL069,ORD,LAX,789,789.0,91.0,14.0,799.0,198,98.0,162.0,495,922.0,18.0,922,922.0,91.0,0,0,,17.0,15.0,,12.0,30.0
2023,9,8,5,DL,1070,TAIL070,ORD,SFO,2356,,24.0,29.0,2366.0,132,227.0,180.0,2531,155.0,6.0,155,,,0,0,,59.0,0.0,28.0,13.0,20.0
2023,7,4,4,UA,1071,TAIL071,JFK,ORD,963,963.0,129.0,26.0,973.0,91,63.0,105.0,2036,1135.0,2.0,1135,1135.0,129.0,0,0,,3.0,10.0,54.0,30.0,2.0
2023,5,16,5,SW,1072,TAIL072,JFK,ATL,2106,2106.0,-18.0,10.0,,216,148.0,198.0,1207,2162.0,3.0,2162,2162.0,-18.0,0,0,,21.0,4.0,54.0,17.0,28.0
2023,11,7,5,WN,1073,TAIL073,ORD,JFK,1120,1120.0,100.0,,1130.0,134,,114.0,2789,,17.0,1280,,,0,0,,,15.0,6.0,67.0,19.0
2023,2,20,6,UA,1074,TAIL074,JFK,ATL,1505,1505.0,80.0,28.0,1515.0,234,234.0,91.0,2239,,10.0,1655,1655.0,80.0,0,0,,11.0,17.0,42.0,74.0,25.0
2023,2,9,1,WN,1075,TAIL075,ORD,ORD,1279,1279.0,70.0,5.0,1289.0,212,66.0,,1449,1340.0,8.0,1340,1340.0,70.0,0,0,,53.0,2.0,4.0,16.0,17.0
2023,4,11,3,UA,1076,TAIL076,SFO,SFO,1231,1231.0,35.0,7.0,1241.0,197,205.0,96.0,1861,1317.0,15.0,1317,1317.0,35.0,0,0,,20.0,,88.0,48.0,30.0
2023,12,11,4,SW,1077,TAIL077,ATL,ORD,1183,1183.0,33.0,,1193.0,74,141.0,60.0,1543,,2.0,1345,1345.0,,0,0,,7.0,0.0,8.0,,39.0
2023,7,4,2,WN,1078,TAIL078,ORD,ATL,2297,2297.0,156.0,,2307.0,187,114.0,161.0,760,2381.0,11.0,2381,2381.0,156.0,0,0,,40.0,9.0,41.0,4.0,22.0
2023,7,4,7,AA,1079,TAIL079,LAX,SFO,2123,2123.0,48.0,,2133.0,194,134.0,,2198,2243.0,4.0,2243,2243.0,48.0,0,0,,31.0,1.0,83.0,75.0,4.0
2023,11,11,3,DL,1080,TAIL080,LAX,ATL,646,646.0,-14.0,13.0,656.0,112,,,2318,849.0,18.0,849,849.0,-14.0,0,0,,18.0,3.0,39.0,61.0,
2023,12,8,5,DL,1081,TAIL081,JFK,JFK,1162,1162.0,165.0,17.0,1172.0,214,236.0,134.0,2045,1211.0,10.0,1211,1211.0,165.0,0,0,,51.0,17.0,66.0,40.0,14.0
2023,5,14,6,UA,1082,TAIL082,ATL,LAX,117,,133.0,,127.0,89,85.0,100.0,2491,178.0,4.0,178,178.0,133.0,0,0,,55.0,6.0,53.0,40.0,20.0
2023,4,6,2,AA,1083,TAIL083,LAX,JFK,1563,1563.0,3.0,19.0,1573.0,189,239.0,106.0,1550,,18.0,1672,,,0,0,,6.0,13.0,40.0,44.0,35.0
2023,2,10,5,UA,1084,TAIL084,SFO,ORD,1663,,-7.0,7.0,1673.0,213,117.0,144.0,1031,1821.0,11.0,1821,1821.0,-7.0,0,0,,15.0,6.0,34.0,79.0,30.0
2023,11,23,3,DL,1085,TAIL085,JFK,SFO,1385,1385.0,,15.0,1395.0,139,161.0,65.0,1621,1470.0,12.0,1470,1470.0,173.0,0,0,,37.0,0.0,3.0,12.0,34.0
2023,4,6,5,UA,1086,TAIL086,JFK,ORD,991,991.0,17.0,27.0,,89,187.0,169.0,1037,1025.0,13.0,1025,1025.0,17.0,0,0,,,0.0,21.0,38.0,31.0
2023,8,24,1,UA,1087,TAIL087,LAX,LAX,1321,1321.0,38.0,11.0,1331.0,91,170.0,225.0,2868,1441.0,3.0,1441,1441.0,,0,0,,7.0,3.0,74.0,46.0,12.0
2023,9,16,4,AA,1088,TAIL088,SFO,JFK,1736,1736.0,-1.0,28.0,1746.0,111,238.0,215.0,410,1855.0,3.0,1855,1855.0,-1.0,0,0,,46.0,8.0,2.0,,20.0
2023,2,19,7,UA,1089,TAIL089,SFO,SFO,1959,1959.0,-10.0,11.0,1969.0,137,118.0,215.0,1222,2187.0,5.0,2187,2187.0,-10.0,0,0,,36.0,8.0,13.0,23.0,
2023,9,10,6,SW,1090,TAIL090,ATL,LAX,635,635.0,47.0,,645.0,131,94.0,170.0,1870,674.0,10.0,674,674.0,47.0,0,0,,53.0,17.0,,26.0,
2023,5,7,7,UA,1091,TAIL091,ORD,JFK,983,,87.0,6.0,993.0,210,,77.0,496,1054.0,3.0,1054,1054.0,87.0,0,0,,52.0,11.0,17.0,76.0,16.0
2023,12,20,4,UA,1092,TAIL092,LAX,ORD,1584,1584.0,56.0,26.0,1594.0,164,171.0,189.0,999,1772.0,16.0,1772,1772.0,56.0,0,0,,50.0,10.0,29.0,7.0,0.0
2023,8,21,4,SW,1093,TAIL093,ATL,ATL,2121,2121.0,55.0,13.0,2131.0,69,88.0,,1245,2324.0,19.0,2324,2324.0,55.0,0,0,,6.0,16.0,72.0,72.0,38.0
2023,12,16,5,AA,1094,TAIL094,LAX,SFO,120,120.0,164.0,25.0,,149,209.0,167.0,2832,,16.0,352,352.0,164.0,0,0,,38.0,14.0,20.0,1.0,9.0
2023,10,18,3,WN,1095,TAIL095,ATL,ORD,507,,,8.0,517.0,156,171.0,154.0,246,,5.0,610,610.0,12.0,0,0,,46.0,0.0,39.0,11.0,21.0
2023,7,16,2,AA,1096,TAIL096,ORD,JFK,2288,,14.0,21.0,2298.0,102,107.0,206.0,1929,11.0,6.0,11,11.0,14.0,0,0,,30.0,9.0,,52.0,25.0
2023,7,23,7,SW,1097,TAIL097,ATL,JFK,1122,,54.0,13.0,1132.0,73,168.0,140.0,772,1325.0,4.0,1325,1325.0,54.0,0,0,,51.0,2.0,,29.0,
2023,5,20,6,UA,1098,TAIL098,ORD,JFK,1341,1341.0,67.0,24.0,1351.0,179,225.0,207.0,1072,1570.0,15.0,1570,1570.0,67.0,0,0,,54.0,18.0,,46.0,37.0
2023,9,7,7,AA,1099,TAIL099,JFK,ORD,996,996.0,92.0,17.0,1006.0,103,143.0,127.0,755,1175.0,19.0,1175,1175.0,92.0,0,0,,34.0,18.0,71.0,5.0,39.0
2023,3,12,3,DL,1100,TAIL000,ORD,ORD,1920,1920.0,128.0,7.0,1930.0,161,104.0,130.0,2706,2032.0,9.0,2032,2032.0,128.0,0,0,,28.0,6.0,52.0,62.0,32.0
2023,2,17,5,AA,1101,TAIL001,LAX,SFO,805,805.0,140.0,23.0,815.0,89,230.0,102.0,2963,972.0,16.0,972,972.0,140.0,0,0,,49.0,13.0,47.0,44.0,28.0
2023,10,28,1,UA,1102,TAIL002,LAX,LAX,2105,2105.0,25.0,11.0,2115.0,154,238.0,153.0,1634,2200.0,14.0,2200,2200.0,25.0,0,0,,24.0,3.0,35.0,56.0,11.0
2023,1,15,2,AA,1103,TAIL003,SFO,JFK,788,788.0,34.0,19.0,798.0,214,124.0,199.0,722,933.0,19.0,933,933.0,34.0,0,0,,13.0,8.0,71.0,42.0,26.0
2023,1,3,5,UA,1104,TAIL004,ATL,ORD,1539,1539.0,163.0,,1549.0,140,99.0,219.0,814,1726.0,15.0,1726,1726.0,163.0,0,0,,28.0,2.0,19.0,28.0,9.0
2023,12,20,1,SW,1105,TAIL005,ORD,SFO,1683,,95.0,18.0,1693.0,172,195.0,,2357,1826.0,10.0,1826,1826.0,95.0,0,0,,35.0,15.0,16.0,16.0,34.0
2023,10,17,2,UA,1106,TAIL006,ORD,JFK,94,94.0,-15.0,28.0,,235,236.0,104.0,815,217.0,4.0,217,217.0,-15.0,0,0,,13.0,7.0,57.0,41.0,14.0
2023,10,6,3,AA,1107,TAIL007,ORD,ATL,1856,1856.0,66.0,10.0,1866.0,109,137.0,156.0,2322,,19.0,1965,1965.0,66.0,0,0,,25.0,4.0,28.0,66.0,4.0
2023,11,13,1,SW,1108,TAIL008,JFK,ORD,1313,1313.0,166.0,11.0,1323.0,119,155.0,95.0,461,1405.0,10.0,1405,1405.0,166.0,0,0,,,10.0,17.0,,5.0
2023,5,6,7,SW,1109,TAIL009,SFO,ORD,1439,1439.0,,15.0,,146,128.0,,1860,,3.0,1583,1583.0,177.0,0,0,,9.0,13.0,74.0,19.0,11.0
2023,1,17,1,SW,1110,TAIL010,JFK,ORD,1835,1835.0,90.0,13.0,1845.0,185,224.0,161.0,2789,2074.0,14.0,2074,2074.0,90.0,0,0,,9.0,19.0,89.0,13.0,5.0
2023,12,3,6,DL,1111,TAIL011,JFK,JFK,1270,,-16.0,22.0,1280.0,88,182.0,224.0,2036,1467.0,19.0,1467,1467.0,-16.0,0,0,,50.0,5.0,22.0,37.0,10.0
2023,10,7,6,WN,1112,TAIL012,SFO,ATL,2205,2205.0,60.0,22.0,2215.0,169,149.0,70.0,2808,2341.0,4.0,2341,2341.0,60.0,0,0,,52.0,11.0,11.0,,8.0
2023,1,3,3,SW,1113,TAIL013,SFO,SFO,1956,1956.0,98.0,19.0,1966.0,117,220.0,155.0,980,2120.0,,2120,2120.0,98.0,0,0,,23.0,7.0,10.0,45.0,15.0
2023,8,11,1,DL,1114,TAIL014,LAX,LAX,2004,2004.0,,22.0,2014.0,171,163.0,174.0,860,2214.0,18.0,2214,2214.0,,0,0,,18.0,,57.0,39.0,3.0
2023,3,5,6,AA,1115,TAIL015,LAX,ORD,1846,1846.0,102.0,11.0,1856.0,117,127.0,177.0,709,2003.0,7.0,2003,,102.0,0,0,,0.0,0.0,81.0,6.0,24.0
2023,10,22,4,DL,1116,TAIL016,LAX,ATL,523,523.0,2.0,,533.0,96,,130.0,2900,600.0,6.0,600,600.0,2.0,0,0,,5.0,,4.0,76.0,2.0
2023,8,8,3,SW,1117,TAIL017,SFO,LAX,1367,1367.0,122.0,16.0,1377.0,173,206.0,108.0,2022,1466.0,4.0,1466,1466.0,122.0,0,0,,16.0,10.0,65.0,75.0,
2023,7,24,4,UA,1118,TAIL018,JFK,JFK,231,231.0,-12.0,24.0,,72,71.0,66.0,2258,406.0,7.0,406,406.0,-12.0,0,0,,11.0,7.0,16.0,68.0,
2023,12,2,6,AA,1119,TAIL019,JFK,SFO,1098,1098.0,135.0,18.0,1108.0,73,,91.0,2190,,8.0,1193,1193.0,135.0,0,0,,2.0,12.0,84.0,66.0,6.0
2023,7,9,3,WN,1120,TAIL020,JFK,SFO,190,190.0,125.0,5.0,200.0,106,159.0,162.0,2809,417.0,,417,,125.0,0,0,,,1.0,0.0,78.0,3.0
2023,11,21,2,AA,1121,TAIL021,LAX,SFO,1654,1654.0,138.0,5.0,1664.0,66,196.0,201.0,2461,1887.0,7.0,1887,1887.0,138.0,0,0,,38.0,7.0,8.0,35.0,38.0
2023,9,26,6,DL,1122,TAIL022,LAX,JFK,837,837.0,44.0,7.0,847.0,114,,145.0,1358,1017.0,6.0,1017,1017.0,44.0,0,0,,16.0,11.0,14.0,55.0,33.0
2023,3,10,1,DL,1123,TAIL023,ATL,ATL,150,150.0,79.0,19.0,160.0,186,134.0,156.0,2871,227.0,3.0,227,227.0,79.0,0,0,,50.0,12.0,3.0,7.0,24.0
2023,6,11,6,SW,1124,TAIL024,ATL,ORD,1719,1719.0,89.0,,1729.0,140,,106.0,1139,1870.0,2.0,1870,1870.0,89.0,0,0,,,,70.0,49.0,7.0
2023,2,28,4,SW,1125,TAIL025,SFO,SFO,2047,2047.0,-1.0,28.0,2057.0,133,164.0,,824,2098.0,3.0,2098,2098.0,-1.0,0,0,,14.0,16.0,26.0,59.0,32.0
2023,2,17,7,AA,1126,TAIL026,SFO,LAX,244,244.0,80.0,14.0,254.0,96,149.0,228.0,1545,420.0,17.0,420,420.0,80.0,0,0,,19.0,13.0,29.0,31.0,5.0
2023,5,15,6,AA,1127,TAIL027,ORD,SFO,2105,,-13.0,,2115.0,61,146.0,226.0,1648,2245.0,5.0,2245,,-13.0,0,0,,52.0,2.0,,19.0,
2023,2,24,1,SW,1128,TAIL028,ORD,ATL,2007,2007.0,,25.0,2017.0,206,217.0,151.0,2408,2052.0,13.0,2052,2052.0,125.0,0,0,,26.0,12.0,5.0,68.0,10.0
2023,2,25,7,SW,1129,TAIL029,SFO,ATL,258,258.0,49.0,27.0,268.0,237,87.0,161.0,1441,372.0,7.0,372,372.0,49.0,0,0,,52.0,7.0,1.0,54.0,37.0
2023,7,5,7,WN,1130,TAIL030,SFO,SFO,87,,,6.0,97.0,202,122.0,61.0,2246,262.0,15.0,262,262.0,142.0,0,1,B,,10.0,40.0,30.0,22.0
